side_dist = (2.50, 2.16), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.31)
side_dist = (2.50, 2.18), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.36)
side_dist = (2.50, 2.20), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.40)
side_dist = (2.50, 2.22), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.44)
side_dist = (2.50, 2.24), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.49)
side_dist = (2.50, 2.27), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.54)
side_dist = (2.50, 2.29), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.58)
side_dist = (2.50, 2.31), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.63)
side_dist = (2.50, 2.34), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.68)
side_dist = (2.50, 2.36), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.73)
side_dist = (2.50, 2.39), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.78)
side_dist = (2.50, 2.42), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.83)
side_dist = (2.50, 2.44), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.88)
side_dist = (2.50, 2.47), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.94)
side_dist = (2.50, 2.50), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 4.99)
side_dist = (2.50, 2.53), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 5.05)
side_dist = (2.50, 2.55), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 5.11)
side_dist = (2.50, 2.58), side = X, perp_dist = 1.50,pos = (15.50, 4.50) door_pos = (13, 4), delta_dis = (1.00, 5.17)
